[winter] 2017-10-26 09:20:46 [main][com.panda.service.CarService-30] INFO  - price:2
[winter] 2017-10-26 09:21:44 [main][com.panda.service.CarService-30] INFO  - price:1
[winter] 2017-10-26 09:25:33 [main][com.panda.service.CarService-30] INFO  - price:1
[winter] 2017-10-26 09:25:52 [main][com.panda.service.CarService-30] INFO  - price:1
[winter] 2017-10-26 09:26:58 [main][com.panda.service.CarService-30] INFO  - price:1
[winter] 2017-10-26 14:27:34 [main][com.panda.service.CarService-30] INFO  - price:1
[winter] 2017-10-26 14:29:15 [main][com.panda.service.CarService-30] INFO  - price:1
[winter] 2017-10-26 14:33:25 [main][com.panda.service.CarService-30] INFO  - price:1
[winter] 2017-10-26 14:35:19 [main][com.panda.service.CarService-30] INFO  - price:1
[winter] 2017-10-26 14:38:31 [main][com.panda.service.CarService-30] INFO  - price:1
[winter] 2017-10-26 14:38:53 [main][com.panda.service.CarService-30] INFO  - price:1
